,CatalogProfile,FeatureName,InspPointName,NWT,MAWT,FirstWT,LastWt,MeasCrRate,Allowable-Stress-Value,Corrosion-Allowance,Design-Code,Design-Pressure,Design-Temperature,Material-Specification,Material-Type,NominalOutsideDiameter,Nominal-Wall-Thickness,Operating-Pressure,Operating-Temperature,Quality-Factor,Kavg,MassButane,MassCOTwo,MassEthane,MassiButane,MassiPentane,MassMethane,MassnHeptane,MassNitrogen,MassPentane,MassPropane,MassWater,MWButane,MWCOTwo,MWEthane,MWiButane,MWiPentane,MWMethane,MWnHeptane,MWNITROGEN,MWPentane,MWPropane,MWWater,Matcat,Mattyp,SumofMass,SumofMW,Volumeofrelease
34700,PI,PIPE,DL-P1,5.49,2.01,5.58,5.58,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34701,PI,PIPE,DL-P1,5.49,2.01,5.54,5.54,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34702,PI,PIPE,DL-P1,5.49,2.01,5.5,5.5,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,80.0,5.49,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.002
34703,PI,PIPE,DL-P1,3.91,1.8,3.76,3.76,0.0,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,50.0,3.91,5653.7,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.967,29.329836,0.001
34708,PI,PIPE,P2,12.7,3.03,12.5,12.23,0.05,137895.14,3.0,ASME B31.3,2068.43,42.22,API 5L Gr B,FS,400.0,12.7,168.92,25.56,1.0,1.291616,2.795572,3660.232482,33.573155,1.51112,0.873015,240.910154,0.050105,8.417208,0.685425,12.852235,0.016214,0.015111,36.602,0.335732,0.027956,0.00873,2.409102,0.001,0.084,0.006854,0.128522,0.000162,CS,FS,3962.711,39.626443,1.269
34724,PI,PIPE,P2,5.54,1.8,5.5,5.48,0.013,137895.14,3.0,ASME B31.3,2999.22,121.11,API 5L Gr B,FS,50.0,5.54,100.0,35.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.007
34726,PI,PIPE,P1,6.02,2.3,6.5,5.64,0.248,137895.14,3.0,ASME B31.3,1689.21,121.11,API 5L Gr B,FS,100.0,6.02,100.0,35.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.484
34729,PI,PIPE,P3,6.02,2.3,6.5,5.64,0.248,137895.14,3.0,ASME B31.3,1689.21,121.11,API 5L Gr B,FS,100.0,6.02,100.0,35.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.484
34732,PI,PIPE,P4,6.02,2.3,6.5,5.64,0.248,137895.14,3.0,ASME B31.3,1689.21,121.11,API 5L Gr B,FS,100.0,6.02,100.0,35.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.484
34734,PI,PIPE,P1,3.91,1.8,4.1,3.92,0.031,206842.71,0.0,ASME B31.3,1689.21,121.11,A790 Gr S31803,AFS,50.0,3.91,137.89,36.94,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,DSS,AFS,2797.19,27.972157,0.02
